logsales	lnsqheat	lnsqunht	bedrooms	acres	age	totbaths	numgarge	numfirep	daysmkt	closespr	closesum	closefal	salespr	basement	diningrm	familyrm	office	patio	deck	porch	stycontm	styranch	stytradt	stytrans	brick	cedar	fiber	hardwood	vinyl	elecheat	elemdist	middist	highdist	onestory	sqftheat	squnheat
12.81583822	7.993958	0	3	2.62	47	2	0	1	195	0	0	0	368000	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0.5462	0.5029	2.4405	1	2963	0
13.142166	7.954372	6.276643	4	1.35	47	3	0	2	395	0	1	0	510000	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1.2488	2.9471	2.7529	0	2848	532
13.07107008	8.000014	0	5	0.56	1	3	2	1	249	0	0	0	475000	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2.2562	2.2904	0.5661	0	2981	0
13.24458101	8.215006	6.802395	5	1.04	1	5.5	3	1	64	0	0	0	565000	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	2.9207	1.6603	0.8284	0	3696	900
12.88638785	7.882315	6.608001	4	0.2	1	2.5	2	1	220	1	0	0	394900	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0.7794	1.8533	1.9079	0	2650	741
12.3883942	7.668561	0	4	0.5	37	3	0	1	225	0	0	0	240000	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1.1666	1.8642	1.3746	0	2140	0
12.50617724	7.602401	0	4	1	19	2	0	1	159	0	0	0	270000	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	3.2816	3.0819	1.3073	0	2003	0
13.65299163	8.52397	7.669028	5	0.51	16	5.5	2	3	326	1	0	0	850000	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0.6445	2.1243	2.6961	0	5034	2141
13.27936713	8.063378	0	4	0	27	3	2	1	269	0	1	0	585000	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0.7683	3.1644	3.2255	0	3176	0
12.26904744	7.378384	4.787492	3	0.25	17	2	0	1	299	1	0	0	213000	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.5515	0.227	3.6869	1	1601	120
11.48040227	7.331715	0	3	0.45	2	2	0	0	176	0	0	0	96800	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1.9245	7.1948	2.9842	1	1528	0
